date,open,high,low,close,adjClose,volume
2015-08-27,1127.199951,1127.400024,1118.400024,1122.400024,1122.400024,564
2015-08-28,1125.300049,1139,1123.599976,1133.099976,1133.099976,279
2015-08-30,null,null,null,null,null,null
2015-08-31,1131.099976,1134,1124.800049,1131.599976,1131.599976,194
2015-09-01,1133.5,1144.699951,1133.5,1138.699951,1138.699951,375
2015-09-02,1137.300049,1140.400024,1130.800049,1132.5,1132.5,201
2015-09-03,1130.300049,1132.900024,1120.300049,1123.699951,1123.699951,122
2015-09-04,1123.400024,1125.199951,1116.199951,1120.599976,1120.599976,51
2015-09-06,null,null,null,null,null,null
2015-09-08,1119.800049,1124.300049,1116.400024,1120.400024,1120.400024,138
2015-09-09,1123.5,1123.5,1102.099976,1102.199951,1102.199951,150
2015-09-10,1107.300049,1113.5,1105.5,1109.5,1109.5,56
2015-09-11,1110.800049,1111.699951,1098.199951,1103.5,1103.5,81
2015-09-13,null,null,null,null,null,null
2015-09-14,1107.800049,1108.599976,1104.099976,1107.699951,1107.699951,19
2015-09-15,1104.5,1104.5,1102.800049,1102.800049,1102.800049,8
2015-09-16,1109.800049,1119.900024,1109.800049,1119.199951,1119.199951,31
2015-09-17,1118.599976,1130.5,1117.099976,1117.300049,1117.300049,14
2015-09-18,1128.300049,1141.199951,1127.800049,1138.099976,1138.099976,59
2015-09-20,null,null,null,null,null,null
2015-09-21,1137.599976,1138.5,1130.800049,1133.099976,1133.099976,17
2015-09-22,1132.599976,1135,1122.5,1125,1125,43
2015-09-23,1128.599976,1132.199951,1128.300049,1131.599976,1131.599976,33
2015-09-24,1133,1155.900024,1133,1153.800049,1153.800049,37
2015-09-25,1149.800049,1149.800049,1143.400024,1146,1146,56
2015-09-27,null,null,null,null,null,null
2015-09-28,1133.199951,1133.199951,1132,1132,1132,4346
2015-09-29,1132.199951,1134.400024,1124.300049,1127.099976,1127.099976,2417
2015-09-30,1124.300049,1126,1112.099976,1115.5,1115.5,865
2015-10-01,1115.199951,1119,1113.300049,1114.199951,1114.199951,1181
2015-10-02,1112.199951,1141.199951,1105.800049,1137.099976,1137.099976,323
2015-10-04,null,null,null,null,null,null
2015-10-05,1137.099976,1141.699951,1132.5,1138.099976,1138.099976,226
2015-10-06,1136.300049,1150,1136.300049,1146.800049,1146.800049,145
2015-10-07,1147.599976,1152.900024,1143,1149,1149,104
2015-10-08,1142.699951,1146.699951,1138.699951,1144.699951,1144.699951,138
2015-10-09,1151.599976,1157.199951,1151.599976,1156.300049,1156.300049,22
2015-10-11,null,null,null,null,null,null
2015-10-12,1155.900024,1166.800049,1155.900024,1164.900024,1164.900024,40
2015-10-13,1163.5,1166.199951,1154.900024,1165.800049,1165.800049,132
2015-10-14,1172.400024,1189,1167.300049,1180.099976,1180.099976,143
2015-10-15,1184.199951,1188.300049,1177.800049,1187.900024,1187.900024,143
2015-10-16,1182.5,1184.099976,1176.199951,1183.599976,1183.599976,243
2015-10-18,null,null,null,null,null,null
2015-10-19,1176.5,1177.800049,1169.300049,1173.300049,1173.300049,62
2015-10-20,1168.699951,1179.099976,1168.699951,1178,1178,19
2015-10-21,1175.900024,1176.400024,1164.900024,1167.599976,1167.599976,41
2015-10-22,1166.199951,1168.599976,1163.5,1166.599976,1166.599976,48
2015-10-23,1166.199951,1178.699951,1163.300049,1163.300049,1163.300049,38
2015-10-25,null,null,null,null,null,null
2015-10-26,1165.099976,1170,1163.800049,1167,1167,176
2015-10-27,1164.5,1166.800049,1162,1166.800049,1166.800049,302
2015-10-28,1175.099976,1182.699951,1175.099976,1177.099976,1177.099976,217
2015-10-29,1158,1162,1144.900024,1147.199951,1147.199951,329
2015-10-30,1147.5,1147.599976,1139.199951,1141.5,1141.5,249
2015-11-01,null,null,null,null,null,null
2015-11-02,1137.900024,1138.699951,1132.599976,1135.800049,1135.800049,180
2015-11-03,1133.300049,1134.699951,1114.199951,1114.199951,1114.199951,185
2015-11-04,1119,1121.900024,1106.5,1106.5,1106.5,141
2015-11-05,1107.900024,1110.699951,1104.400024,1104.400024,1104.400024,84
2015-11-06,1105.199951,1109.5,1084.800049,1087.599976,1087.599976,78
2015-11-08,null,null,null,null,null,null
2015-11-09,1088.599976,1088.599976,1087.900024,1087.900024,1087.900024,5
2015-11-10,1090.099976,1091.300049,1085,1088.199951,1088.199951,18
2015-11-11,1091.400024,1091.400024,1084.199951,1084.699951,1084.699951,15
2015-11-12,1086,1086.599976,1080.800049,1080.800049,1080.800049,4
2015-11-13,1083.099976,1085.900024,1080.800049,1080.800049,1080.800049,23
2015-11-15,null,null,null,null,null,null
2015-11-16,1092,1092.400024,1083.699951,1083.699951,1083.699951,11
2015-11-17,1075.5,1075.800049,1065.099976,1068.699951,1068.699951,6
2015-11-18,1064,1071.900024,1064,1068.800049,1068.800049,5
2015-11-19,1077.400024,1082.400024,1077.400024,1078,1078,10
2015-11-20,1082.900024,1082.900024,1076.400024,1076.400024,1076.400024,5
2015-11-22,null,null,null,null,null,null
2015-11-23,1070,1071.5,1066.800049,1066.800049,1066.800049,57
2015-11-24,1073.199951,1079.400024,1073.199951,1074.300049,1074.300049,222
2015-11-25,1070.199951,1072,1068.5,1070.5,1070.5,148662
2015-11-27,1070.699951,1074.199951,1051.099976,1056.199951,1056.199951,52133
2015-11-29,null,null,null,null,null,null
2015-11-30,1056.5,1068.400024,1052.099976,1065.800049,1065.800049,4601
2015-12-01,1064.599976,1074.599976,1063.400024,1063.800049,1063.800049,3441
2015-12-02,1068.699951,1069.5,1049.599976,1054.199951,1054.199951,503
2015-12-03,1054.400024,1064.599976,1046.199951,1061.699951,1061.699951,1161
2015-12-04,1063,1088.800049,1058.699951,1084.5,1084.5,889
2015-12-06,null,null,null,null,null,null
2015-12-07,1084.900024,1086.5,1067.400024,1076.400024,1076.400024,656
2015-12-08,1071,1078.400024,1069.599976,1076.300049,1076.300049,306
2015-12-09,1075.099976,1086,1070.599976,1077.599976,1077.599976,386
2015-12-10,1073,1076.300049,1071.699951,1073.099976,1073.099976,226
2015-12-11,1067.800049,1079.400024,1064.400024,1076.900024,1076.900024,410
2015-12-13,null,null,null,null,null,null
2015-12-14,1074,1076.699951,1060,1064.699951,1064.699951,509
2015-12-15,1064.599976,1066.199951,1061.800049,1062.900024,1062.900024,220
2015-12-16,1064.800049,1078.699951,1064.300049,1078,1078,81
2015-12-17,1072.599976,1072.599976,1050.5,1050.800049,1050.800049,56
2015-12-18,1053.699951,1070.300049,1052.699951,1066.199951,1066.199951,253
2015-12-20,null,null,null,null,null,null
2015-12-21,1070.199951,1081.900024,1070.199951,1081.900024,1081.900024,26
2015-12-22,1078.599976,1078.599976,1073.800049,1074.800049,1074.800049,106
2015-12-23,1074.5,1074.800049,1069.400024,1069.400024,1069.400024,202
2015-12-24,1074.300049,1077.800049,1073.5,1077.199951,1077.199951,24
2015-12-27,null,null,null,null,null,null
2015-12-28,1077.900024,1098.800049,1070.5,1070.5,1070.5,361
2015-12-29,1079.099976,1079.699951,1077.5,1077.5,1077.5,252
2015-12-30,1068.599976,1070.199951,1059.699951,1060.099976,1060.099976,71
2015-12-31,1061.900024,1062,1058.5,1060.300049,1060.300049,10
2016-01-03,null,null,null,null,null,null
2016-01-04,1063.400024,1082.5,1063.199951,1075.099976,1075.099976,143
2016-01-05,1075.599976,1081.5,1075.300049,1078.400024,1078.400024,82
2016-01-06,1081.599976,1093.699951,1081.599976,1091.900024,1091.900024,52
2016-01-07,1091.599976,1109.400024,1091.599976,1107.699951,1107.699951,122
2016-01-08,1111.099976,1111.099976,1093,1097.800049,1097.800049,98
2016-01-10,null,null,null,null,null,null
2016-01-11,1105.699951,1107.900024,1096.5,1096.5,1096.5,43
2016-01-12,1093.800049,1098.5,1084,1085.599976,1085.599976,87
2016-01-13,1081.5,1093.900024,1081.5,1087.5,1087.5,50
2016-01-14,1091.5,1091.5,1073.699951,1073.900024,1073.900024,59
2016-01-15,1085,1095.800049,1081.800049,1091.5,1091.5,44
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,1089.800049,1094.400024,1084.900024,1089.900024,1089.900024,17
2016-01-20,1099.800049,1109.800049,1099.800049,1107.099976,1107.099976,30
2016-01-21,1103.599976,1103.599976,1094.099976,1099.099976,1099.099976,16
2016-01-22,1098,1103.199951,1097.199951,1097.199951,1097.199951,4
2016-01-24,null,null,null,null,null,null
2016-01-25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,8
2016-01-26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,181
2016-01-27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,168706
2016-01-28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,52861
2016-01-29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,6955
2016-01-31,null,null,null,null,null,null
2016-02-01,1116.699951,1130,1115.300049,1127.900024,1127.900024,1682
2016-02-02,1128.300049,1131.400024,1123,1127.300049,1127.300049,1230
2016-02-03,1128.5,1146,1125,1141.300049,1141.300049,1630
2016-02-04,1142.5,1157.599976,1141,1157.599976,1157.599976,771
2016-02-05,1155.599976,1174.800049,1146,1157.800049,1157.800049,877
2016-02-07,null,null,null,null,null,null
2016-02-08,1173.5,1200.400024,1165,1197.900024,1197.900024,931
2016-02-09,1188.699951,1199.199951,1186.699951,1198.699951,1198.699951,700
2016-02-10,1189.800049,1197.699951,1182.099976,1194.699951,1194.699951,671
2016-02-11,1205.599976,1260.800049,1204.599976,1247.900024,1247.900024,995
2016-02-12,1247.800049,1247.800049,1233.5,1239.099976,1239.099976,250
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,1233.099976,1233.599976,1193.599976,1207.900024,1207.900024,422
2016-02-17,1196.5,1212.900024,1196.5,1211.099976,1211.099976,53
2016-02-18,1209.599976,1239.199951,1201.599976,1226.099976,1226.099976,315
2016-02-19,1230.800049,1232.800049,1221.800049,1230.400024,1230.400024,76
2016-02-21,null,null,null,null,null,null
2016-02-22,1226.099976,1226.099976,1203,1209.5,1209.5,280
2016-02-23,1207.400024,1226.099976,1207.400024,1222.300049,1222.300049,351
2016-02-24,1230,1250.099976,1230,1238.699951,1238.699951,111
2016-02-25,1239.400024,1241.5,1235,1238.199951,1238.199951,1349
2016-02-26,1232.400024,1239.099976,1212.199951,1219.800049,1219.800049,656
2016-02-28,null,null,null,null,null,null
2016-02-29,1218.599976,1241,1218.599976,1233.900024,1233.900024,580
2016-03-01,1240.5,1248.400024,1229,1230.300049,1230.300049,477
2016-03-02,1232.800049,1242.599976,1226,1241.099976,1241.099976,267
2016-03-03,1238.400024,1267.900024,1238,1257.400024,1257.400024,123
2016-03-04,1263,1279.900024,1250.900024,1269.900024,1269.900024,268
2016-03-06,null,null,null,null,null,null
2016-03-07,1259.800049,1272.300049,1259.699951,1263.199951,1263.199951,67
2016-03-08,1268.699951,1276.300049,1261,1262.099976,1262.099976,43
2016-03-09,1254.5,1260,1244.800049,1256.599976,1256.599976,79
2016-03-10,1250,1273,1237.5,1272,1272,119
2016-03-11,1270,1280.699951,1249.400024,1258.699951,1258.699951,87
2016-03-13,null,null,null,null,null,null
2016-03-14,1256,1258,1234.5,1244.400024,1244.400024,58
2016-03-15,1228.300049,1236,1228,1230.400024,1230.400024,37
2016-03-16,1229.5,1263.800049,1228.900024,1229.300049,1229.300049,45
2016-03-17,1261.5,1270.099976,1255.900024,1264.5,1264.5,27
2016-03-18,1257.099976,1264.400024,1251.5,1253.800049,1253.800049,542
2016-03-20,null,null,null,null,null,null
2016-03-21,1256.199951,1256.199951,1243.400024,1243.800049,1243.800049,1061
2016-03-22,1244,1252.400024,1243.800049,1248.199951,1248.199951,20
2016-03-23,1247.699951,1247.699951,1218.599976,1223.699951,1223.699951,28
2016-03-24,1214.199951,1221.400024,1214.199951,1221.400024,1221.400024,13
2016-03-27,null,null,null,null,null,null
2016-03-28,1211.5,1222.199951,1210,1219.900024,1219.900024,33
2016-03-29,1217.800049,1235.599976,1217.699951,1235.599976,1235.599976,189732
2016-03-30,1241.400024,1245,1223.400024,1226.900024,1226.900024,48248
2016-03-31,1225.599976,1239.599976,1224.5,1234.199951,1234.199951,3377
2016-04-01,1232.300049,1235.199951,1209.199951,1222.199951,1222.199951,1602
2016-04-03,null,null,null,null,null,null
